,매장명,매장주소,lat,lng
179,본죽 명일역점,서울특별시 강동구 양재대로 1626 (명일동) 1층 103호,37.5506521,127.1443104
180,본죽 신풍역점,"서울특별시 영등포구 신풍로 77 (신길동, 래미안에스티움) B동 111호",37.5010387,126.9137134
181,본죽 번동점,서울특별시 강북구 오현로32길 28 금영빌딩,37.6280232,127.0406846
182,본죽 송파점,서울특별시 송파구 가락로 176 (송파동) 경진빌딩 1층,37.5042203,127.1145662
183,본죽 청담프리마점,서울특별시 강남구 도산대로 521 (청담동),37.5248741,127.0504024
184,본죽 공릉점,"서울특별시 노원구 섬밭로 134 (공릉동, 풍림아파트) B상가 114동",37.6284968,127.0693483
185,본 죽&비빔밥 연신내점,서울특별시 은평구 연서로 252 (불광동),37.6194786,126.9229341
186,본도시락 수서역점,서울특별시 강남구 광평로 280 로즈데일오피스텔 B02 16호,37.4873192,127.103108
187,본도시락 봉은사역점,서울특별시 강남구 봉은사로108길 5,37.5143637,127.0637774
188,본죽 올림픽점,서울특별시 송파구 양재대로 1222 (방이동) 중심상가1층 210호,37.515729,127.1310643
189,본 죽&비빔밥 둔촌보훈병원점,서울특별시 강동구 진황도로 189 (둔촌동) 1층 101호,37.5294493,127.1433454
190,본 죽&비빔밥 구산역점,"서울 은평구 서오릉로 134 (대조동, 메디칼) 1층",37.6110266,126.9181024
191,본도시락 북한산힐스테이트7차점,서울특별시 은평구 통일로 796 북한산 힐스테이트 7차,37.6160938,126.9264534
192,본죽 돌곶이역점,서울특별시 성북구 돌곶이로 65 (석관동),37.6095199,127.0582198
193,본죽 상계백병원점,서울특별시 노원구 동일로 1356 상계주공아파트 4단지상가 1층,37.6504505,127.0634916
194,본죽 월계점,"서울특별시 노원구 월계로 370, 희성프라자 126호",37.6310464,127.0609491
195,본 죽&비빔밥 오류점,서울특별시 구로구 경인로 203-1 (오류동),37.496133,126.8435098
196,본 죽&비빔밥 가양점,"서울특별시 강서구 양천로 564 (등촌동, 등촌동두산위브센티움) 106호",37.5570639,126.8613201
197,본죽 테크노마트점,서울특별시 광진구 광나루로56길 63 프라임프라자 1층 115호,37.5367895,127.096155
198,본도시락 화곡점,서울특별시 강서구 가로공원로 186 (화곡동) 101호,37.5368621,126.8366942
199,본죽 인사동점,서울특별시 종로구 인사동길 51-2 (관훈동) 2층,37.574684,126.9838841
200,본도시락 교대역점,서울특별시 서초구 서초대로54길 15,37.4934522,127.0161427
